Disability_Type,Response_Value,Percentage
Cognitive Disability,Normal Weight,26.1
Cognitive Disability,Obese,39.8
Cognitive Disability,Overweight,32.6
Cognitive Disability,Underweight,0.0
Cognitive Disability,Unknown,1.5
Hearing Disability,Normal Weight,21.2
Hearing Disability,Obese,37.0
Hearing Disability,Overweight,39.6
Hearing Disability,Underweight,0.0
Hearing Disability,Unknown,2.1999999999999886
Mobility Disability,Normal Weight,20.2
Mobility Disability,Obese,48.3
Mobility Disability,Overweight,28.2
Mobility Disability,Underweight,0.0
Mobility Disability,Unknown,3.299999999999997
Vision Disability,Normal Weight,23.2
Vision Disability,Obese,39.9
Vision Disability,Overweight,32.4
Vision Disability,Underweight,0.0
Vision Disability,Unknown,4.5
