Disability_Type,Response_Value,Percentage
Cognitive Disability,Employed,47.7
Cognitive Disability,Other,30.5
Cognitive Disability,Out of Work,4.2
Cognitive Disability,Unable to Work,17.5
Cognitive Disability,Unknown,0.09999999999999432
Hearing Disability,Employed,53.0
Hearing Disability,Other,26.1
Hearing Disability,Out of Work,0.0
Hearing Disability,Unable to Work,12.3
Hearing Disability,Unknown,8.600000000000009
Independent Living Disability,Employed,38.7
Independent Living Disability,Other,30.5
Independent Living Disability,Out of Work,0.0
Independent Living Disability,Unable to Work,23.4
Independent Living Disability,Unknown,7.400000000000006
Mobility Disability,Employed,36.5
Mobility Disability,Other,28.8
Mobility Disability,Out of Work,0.0
Mobility Disability,Unable to Work,25.7
Mobility Disability,Unknown,9.0
Self-care Disability,Employed,26.5
Self-care Disability,Other,23.9
Self-care Disability,Out of Work,0.0
Self-care Disability,Unable to Work,35.1
Self-care Disability,Unknown,14.5
Vision Disability,Employed,48.5
Vision Disability,Other,28.1
Vision Disability,Out of Work,0.0
Vision Disability,Unable to Work,15.2
Vision Disability,Unknown,8.200000000000003
