Disability_Type,Response_Value,Percentage
Cognitive Disability,Large Central Metropolitan Counties,0.0
Cognitive Disability,Large Fringe Metropolitan Counties,0.0
Cognitive Disability,Medium Metropolitan Counties,0.0
Cognitive Disability,Micropolitan Counties,38.8
Cognitive Disability,Noncore Counties,27.4
Cognitive Disability,Small Metropolitan Counties,33.7
Cognitive Disability,Unknown,0.10000000000000853
Hearing Disability,Large Central Metropolitan Counties,0.0
Hearing Disability,Large Fringe Metropolitan Counties,0.0
Hearing Disability,Medium Metropolitan Counties,0.0
Hearing Disability,Micropolitan Counties,31.2
Hearing Disability,Noncore Counties,37.7
Hearing Disability,Small Metropolitan Counties,31.1
Hearing Disability,Unknown,0.0
Independent Living Disability,Large Central Metropolitan Counties,0.0
Independent Living Disability,Large Fringe Metropolitan Counties,0.0
Independent Living Disability,Medium Metropolitan Counties,0.0
Independent Living Disability,Micropolitan Counties,42.1
Independent Living Disability,Noncore Counties,18.0
Independent Living Disability,Small Metropolitan Counties,39.9
Independent Living Disability,Unknown,0.0
Mobility Disability,Large Central Metropolitan Counties,0.0
Mobility Disability,Large Fringe Metropolitan Counties,0.0
Mobility Disability,Medium Metropolitan Counties,0.0
Mobility Disability,Micropolitan Counties,42.2
Mobility Disability,Noncore Counties,21.7
Mobility Disability,Small Metropolitan Counties,36.0
Mobility Disability,Unknown,0.09999999999999432
No Disability,Large Central Metropolitan Counties,0.0
No Disability,Large Fringe Metropolitan Counties,0.0
No Disability,Medium Metropolitan Counties,0.0
No Disability,Micropolitan Counties,40.0
No Disability,Noncore Counties,28.9
No Disability,Small Metropolitan Counties,31.1
No Disability,Unknown,0.0
Self-care Disability,Large Central Metropolitan Counties,0.0
Self-care Disability,Large Fringe Metropolitan Counties,0.0
Self-care Disability,Medium Metropolitan Counties,0.0
Self-care Disability,Micropolitan Counties,51.4
Self-care Disability,Noncore Counties,23.6
Self-care Disability,Small Metropolitan Counties,25.0
Self-care Disability,Unknown,0.0
Vision Disability,Large Central Metropolitan Counties,0.0
Vision Disability,Large Fringe Metropolitan Counties,0.0
Vision Disability,Medium Metropolitan Counties,0.0
Vision Disability,Micropolitan Counties,44.5
Vision Disability,Noncore Counties,24.0
Vision Disability,Small Metropolitan Counties,31.5
Vision Disability,Unknown,0.0
