Disability_Type,Response_Value,Percentage
Cognitive Disability,0 Days,24.0
Cognitive Disability,1-13 Days,24.2
Cognitive Disability,14+ Days,51.8
Cognitive Disability,Unknown,0.0
Hearing Disability,0 Days,53.8
Hearing Disability,1-13 Days,23.7
Hearing Disability,14+ Days,22.5
Hearing Disability,Unknown,0.0
Mobility Disability,0 Days,40.1
Mobility Disability,1-13 Days,23.5
Mobility Disability,14+ Days,36.5
Mobility Disability,Unknown,-0.09999999999999432
Vision Disability,0 Days,44.3
Vision Disability,1-13 Days,25.4
Vision Disability,14+ Days,30.3
Vision Disability,Unknown,1.4210854715202004e-14
