Disability_Type,Response_Value,Percentage
Cognitive Disability,0 Days,43.5
Cognitive Disability,1-13 Days,25.3
Cognitive Disability,14+ Days,31.2
Cognitive Disability,Unknown,0.0
Hearing Disability,0 Days,53.6
Hearing Disability,1-13 Days,25.4
Hearing Disability,14+ Days,21.0
Hearing Disability,Unknown,0.0
Mobility Disability,0 Days,29.7
Mobility Disability,1-13 Days,28.0
Mobility Disability,14+ Days,42.2
Mobility Disability,Unknown,0.09999999999999432
No Disability,0 Days,0.0
No Disability,1-13 Days,0.0
No Disability,14+ Days,0.0
No Disability,Unknown,100.0
Vision Disability,0 Days,45.2
Vision Disability,1-13 Days,33.0
Vision Disability,14+ Days,21.7
Vision Disability,Unknown,0.09999999999999432
