Disability_Type,Response_Value,Percentage
Cognitive Disability,1 Provider,52.6
Cognitive Disability,2+ Providers,22.9
Cognitive Disability,Unknown,24.5
Hearing Disability,1 Provider,46.3
Hearing Disability,2+ Providers,27.6
Hearing Disability,Unknown,26.099999999999994
Mobility Disability,1 Provider,55.2
Mobility Disability,2+ Providers,24.8
Mobility Disability,Unknown,20.0
No Disability,1 Provider,0.0
No Disability,2+ Providers,0.0
No Disability,Unknown,100.0
Vision Disability,1 Provider,43.9
Vision Disability,2+ Providers,18.4
Vision Disability,Unknown,37.7
