Disability_Type,Response_Value,Percentage
Cognitive Disability,Female,16.3
Cognitive Disability,Male,9.5
Cognitive Disability,Unknown,74.2
Hearing Disability,Female,4.5
Hearing Disability,Male,10.9
Hearing Disability,Unknown,84.6
Independent Living Disability,Female,9.0
Independent Living Disability,Male,4.8
Independent Living Disability,Unknown,86.2
Mobility Disability,Female,11.7
Mobility Disability,Male,9.7
Mobility Disability,Unknown,78.6
Self-care Disability,Female,2.9
Self-care Disability,Male,2.9
Self-care Disability,Unknown,94.2
Vision Disability,Female,6.2
Vision Disability,Male,4.1
Vision Disability,Unknown,89.7
