Disability_Type,Response_Value,Percentage
Cognitive Disability,1-6 Hours,41.7
Cognitive Disability,10+ Hours,11.2
Cognitive Disability,7-9 Hours,47.0
Cognitive Disability,Unknown,0.09999999999999432
Hearing Disability,1-6 Hours,48.0
Hearing Disability,10+ Hours,2.0
Hearing Disability,7-9 Hours,50.0
Hearing Disability,Unknown,0.0
Mobility Disability,1-6 Hours,36.7
Mobility Disability,10+ Hours,14.5
Mobility Disability,7-9 Hours,48.7
Mobility Disability,Unknown,0.09999999999999432
Vision Disability,1-6 Hours,52.5
Vision Disability,10+ Hours,5.4
Vision Disability,7-9 Hours,42.1
Vision Disability,Unknown,0.0
