Disability_Type,Response_Value,Percentage
Cognitive Disability,Current Smoker,25.5
Cognitive Disability,Former Smoker,28.9
Cognitive Disability,Never Smoker,45.5
Cognitive Disability,Unknown,0.09999999999999432
Hearing Disability,Current Smoker,26.5
Hearing Disability,Former Smoker,34.6
Hearing Disability,Never Smoker,38.9
Hearing Disability,Unknown,0.0
Mobility Disability,Current Smoker,21.9
Mobility Disability,Former Smoker,27.2
Mobility Disability,Never Smoker,50.9
Mobility Disability,Unknown,0.0
No Disability,Current Smoker,0.0
No Disability,Former Smoker,0.0
No Disability,Never Smoker,0.0
No Disability,Unknown,100.0
Vision Disability,Current Smoker,31.3
Vision Disability,Former Smoker,31.5
Vision Disability,Never Smoker,37.2
Vision Disability,Unknown,0.0
